country_code,country_name,weighted_exposure,total_employment_k,wb_country_code,wb_name,region,income_group,population_2024
ZWE,Zimbabwe,0.1918,4921.8,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,16634373.0
AFG,Afghanistan,0.1893,7211.3,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,42647492.0
ZMB,Zambia,0.1872,7126.2,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,21314956.0
RWA,Rwanda,0.1862,4852.1,RWA,Rwanda,Sub-Saharan Africa,Low income,14256567.0
UGA,Uganda,0.182,17917.8,UGA,Uganda,Sub-Saharan Africa,Low income,50015092.0
GNB,Guinea-Bissau,0.1788,704.2,GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2201352.0
ETH,Ethiopia,0.1767,36491.5,ETH,Ethiopia,Sub-Saharan Africa,,132059767.0
LSO,Lesotho,0.1748,800.0,LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2337423.0
TZA,"Tanzania, United Republic of",0.1733,30978.0,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,68560157.0
MDG,Madagascar,0.1662,11830.4,MDG,Madagascar,Sub-Saharan Africa,Low income,31964956.0
MOZ,Mozambique,0.1618,12176.0,MOZ,Mozambique,Sub-Saharan Africa,Low income,34631766.0
