country_code,country_name,weighted_exposure,wc_share,wc_exposure,bc_exposure,exposure_residual_wc
KEN,Kenya,0.1988,0.1345126597504563,0.4027866937963256,0.1670939381287722,-0.0170766631275088
BFA,Burkina Faso,0.1977,0.127912396161986,0.3586611365525532,0.17404665805261152,-0.01658108815237258
COD,"Congo, Democratic Republic of the",0.1969,0.1077202672158333,0.36021885143276644,0.17722652629588223,-0.012499759519151638
ZWE,Zimbabwe,0.1918,0.1149302539627383,0.3723797391411522,0.16831291604288792,-0.019342731488410814
AFG,Afghanistan,0.1893,0.08697744309187,0.3621177957803402,0.17279825820505937,-0.01508530355959517
ZMB,Zambia,0.1872,0.0820856168026287,0.37953028241819686,0.16998298302979198,-0.016002733272029418
RWA,Rwanda,0.1862,0.0919553424714552,0.3847944372164841,0.1661361081625283,-0.019388681511452593
UGA,Uganda,0.182,0.0556226148720688,0.355769440995049,0.17177488780132058,-0.014805457908490582
GNB,Guinea-Bissau,0.1788,0.06739509856410601,0.3829360466187824,0.16404192946909932,-0.02085138672973144
ETH,Ethiopia,0.1767,0.0500830836794607,0.39409637841865985,0.1652835644499067,-0.018766308762939443
LSO,Lesotho,0.1748,0.0960537928241224,0.3734641884010593,0.15365796257235037,-0.03177945782392855
TZA,"Tanzania, United Republic of",0.1733,0.043445210724010905,0.3854087121470013,0.16367427017532687,-0.020561641944124687
MDG,Madagascar,0.1662,0.0507978525122849,0.38949354466767955,0.15430006799922294,-0.02943909993216698
MOZ,Mozambique,0.1618,0.0491935182512197,0.36953967703742674,0.1510844894561,-0.033451261542927324
BDI,Burundi,0.144,0.030918694014400096,0.3672784660026192,0.1368901825693873,-0.04683343006749671
