country_code,country_name,wc_share_M,wc_share_F,wc_share_T,wc_gap,gender_gap,predicted_gg,residual,abs_residual
LAO,Lao People's Democratic Republic,0.09430945679961124,0.08717528061064693,0.09120755934820463,-0.0071341761889643085,0.0163999999999999,0.018504171932682213,-0.0021041719326823118,0.0021041719326823118
TKL,Tokelau,0.5477386934673367,0.5976331360946745,0.5651105651105651,0.049894442627337776,0.0274,0.0294421500950604,-0.0020421500950604,0.0020421500950604
BLR,Belarus,0.3198848878157901,0.595646002352152,0.4592121093731269,0.27576111453636193,0.0746999999999999,0.0727629384330681,0.0019370615669318109,0.0019370615669318109
BFA,Burkina Faso,0.14310759847741938,0.10994818008702938,0.12765802862141595,-0.03315941839039001,0.0116999999999999,0.013512581100248722,-0.001812581100248822,0.001812581100248822
FJI,Fiji,0.24633453162936897,0.3867905873047261,0.29340208124373124,0.14045605567535713,0.0451,0.04681169132592429,-0.0017116913259242889,0.0017116913259242889
EST,Estonia,0.4451542826108705,0.6197298229933305,0.5328022879300884,0.17457554038245998,0.0521999999999999,0.05335574212680404,-0.001155742126804138,0.001155742126804138
AUS,Australia,0.5017371049974723,0.6710555592348726,0.582784952299766,0.16931845423740033,0.0534,0.05234744322976033,0.0010525567702396738,0.0010525567702396738
ETH,Ethiopia,0.055098770966777226,0.042996584593779336,0.049987298096071026,-0.01210218637299789,0.0185,0.01755131724268053,0.0009486827573194703,0.0009486827573194703
BIH,Bosnia and Herzegovina,0.2703655801232036,0.40483673985835994,0.3245236032674801,0.13447115973515633,0.0448999999999999,0.045663799925838175,-0.0007637999258382766,0.0007637999258382766
CRI,Costa Rica,0.28833942320582173,0.43151519567003016,0.34402876506774854,0.14317577246420843,0.0465999999999999,0.047333327715894255,-0.0007333277158943566,0.0007333277158943566
LTU,Lithuania,0.4391328904548022,0.6109420843297567,0.5231201216075424,0.17180919387495452,0.0520999999999999,0.05282516224749585,-0.0007251622474959488,0.0007251622474959488
JPN,Japan,0.36560898655619484,0.49601908733098915,0.42429825354297757,0.1304101007747943,0.0455999999999999,0.044884896716422346,0.000715103283577552,0.000715103283577552
ESP,Spain,0.40339598025138645,0.5261176493533463,0.4602955477661432,0.12272166910195981,0.0428999999999999,0.04341027047637107,-0.0005102704763711718,0.0005102704763711718
PER,Peru,0.2047843232382718,0.22534177148246406,0.21400839669014976,0.020557448244192256,0.0240999999999999,0.023815371635875115,0.00028462836412478446,0.00028462836412478446
