country_code,wc_share_M,wc_share_F,wcs_share_M,wcs_share_F,sales_share_M,sales_share_F,wc_avg_exp,bc_avg_exp,wcs_avg_exp,bcs_avg_exp,wc_gap,wc_exposure_spread,predicted_wc,wcs_gap,wcs_exposure_spread,predicted_wcs,country_name,gender_gap,residual_wc,residual_wcs
BLR,0.3198848878157901,0.595646002352152,0.34141740941091847,0.7004231976150119,0.02153252159512839,0.1047771952628598,0.38199480808623987,0.19729542047616697,0.3796232607225847,0.17527672732331964,0.27576111453636193,0.1846993876100729,0.05093290898153722,0.35900578820409346,0.20434653339926503,0.07336158828977725,Belarus,0.0746999999999999,0.023767091018462687,0.0013384117102226561
BLZ,0.16009178360250637,0.2660501881583177,0.24184758626776096,0.462169777424784,0.0817558026652546,0.19611958926646622,0.4255793765205588,0.19629063015468676,0.4015477220312481,0.16570769333153532,0.10595840455581135,0.22928874636587207,0.02429506974752989,0.22032219115702303,0.2358400286997128,0.05196079188565592,Belize,0.0653999999999999,0.041104930252470015,0.01343920811434398
BOL,0.1826675443957503,0.18007022575810086,0.2691707199903921,0.3987986907644748,0.0865031755946418,0.21872846500637397,0.3815310225017707,0.21017254935447485,0.37292879303696175,0.1760584891688797,-0.0025973186376494484,0.17135847314729583,-0.000445072556024624,0.12962797077408267,0.19687030386808205,0.025519897996096514,Bolivia (Plurinational State of),0.0302999999999999,0.030745072556024523,0.004780102003903386
BRA,0.2733373858418957,0.4199816178071135,0.3694922424332525,0.5742473929346901,0.09615485659135682,0.15426577512757653,0.41817159458331926,0.20359999693988515,0.40343088074157224,0.16754078924651863,0.1466442319652178,0.21457159764343411,0.031465687137971134,0.20475515050143756,0.2358900914950536,0.04829971118586757,Brazil,0.0455,0.014034312862028865,-0.0027997111858675747
BRB,0.3155778378563363,0.5291208791208792,0.3746791690907225,0.6497252747252749,0.05910133123438623,0.12060439560439562,0.3973421677111059,0.20664693707846035,0.3912460636972301,0.17864426926134838,0.21354304126454293,0.19069523063264557,0.04072163950393856,0.27504610563455234,0.2126017944358817,0.0584752956105069,Barbados,0.0783,0.03757836049606143,0.019824704389493096
BRN,0.42099008124855186,0.6122095981007293,0.4733270048659437,0.7343394946583011,0.05233692361739183,0.12212989655757166,0.4097695763723252,0.19988066370097773,0.40320833911282744,0.16700451239823474,0.19121951685217742,0.20988891267134746,0.04013485647364392,0.26101248979235736,0.2362038267145927,0.061652148909258374,Brunei Darussalam,0.0731,0.03296514352635608,0.011447851090741624
BTN,0.2859666181967403,0.27893419839602956,0.30786729350473246,0.3213555421544774,0.021900675307992185,0.04242134375844788,0.38128427740077825,0.18657704196271094,0.3794886161329198,0.17880982186227462,-0.007032419800710732,0.1947072354380673,-0.0013692630178363109,0.01348824864974496,0.20067879427064517,0.0027068054758534765,Bhutan,0.0116,0.01296926301783631,0.008893194524146523
BWA,0.20424960240685444,0.28738626924488575,0.24239135852253935,0.411070276430931,0.03814175611568488,0.12368400718604518,0.39597224571590517,0.17348513995349302,0.38780046996113493,0.15125678155322425,0.08313666683803131,0.22248710576241215,0.018496836387527495,0.16867891790839168,0.23654368840791068,0.03989993339870614,Botswana,0.0521,0.03360316361247251,0.012200066601293857
CHE,0.6167083295074234,0.694130873499568,0.6369780007535722,0.7505570907893576,0.020269671246149024,0.05642621728978966,0.4085415108571942,0.19582958097501502,0.40605754849731723,0.17572395712735325,0.07742254399214465,0.21271192988217918,0.016468698748957008,0.11357909003578537,0.23033359136996398,0.026161079712474933,Switzerland,0.0228999999999999,0.006431301251042892,-0.003261079712475034
CHL,0.3416324926641309,0.4475331057530142,0.41627388145355687,0.614681571540171,0.07464138878942585,0.16714846578715659,0.40063916217592127,0.20166117360484337,0.39199181420902146,0.16520946829447392,0.10590061308888327,0.1989779885710779,0.021071890980869958,0.19840769008661413,0.22678234591454755,0.04499536140532887,Chile,0.0373999999999999,0.01632810901912994,-0.007595361405328974
